model,match_id,match,is_wc,outcome,action,model_p,implied,diff,hit,pnl
M5 NegBin+Frank (calib 1X2+O/U),26JUN05MDABUL,Moldova vs Bulgaria,False,away,BUY,0.8818,0.7647,0.1171,0.0,-0.7647
M1 Poisson+DC,26JUN05SMRBAN,San Marino vs Bangladesh,False,home,BUY,0.4285,0.3168,0.1116,0.0,-0.3168
M1 Poisson+DC,26JUN05SMRBAN,San Marino vs Bangladesh,False,draw,SELL,0.3193,0.4356,-0.1164,0.0,0.4356
M2 NegBin+DC,26JUN05SMRBAN,San Marino vs Bangladesh,False,home,BUY,0.4286,0.3168,0.1118,0.0,-0.3168
M2 NegBin+DC,26JUN05SMRBAN,San Marino vs Bangladesh,False,draw,SELL,0.319,0.4356,-0.1166,0.0,0.4356
M3 NegBin+Frank,26JUN05SMRBAN,San Marino vs Bangladesh,False,home,BUY,0.4272,0.3168,0.1104,0.0,-0.3168
M3 NegBin+Frank,26JUN05SMRBAN,San Marino vs Bangladesh,False,draw,SELL,0.3271,0.4356,-0.1086,0.0,0.4356
M5 NegBin+Frank (calib 1X2+O/U),26JUN05SMRBAN,San Marino vs Bangladesh,False,home,BUY,0.3989,0.3168,0.082,0.0,-0.3168
M5 NegBin+Frank (calib 1X2+O/U),26JUN05SMRBAN,San Marino vs Bangladesh,False,draw,SELL,0.275,0.4356,-0.1607,0.0,0.4356
M5 NegBin+Frank (calib 1X2+O/U),26JUN05SMRBAN,San Marino vs Bangladesh,False,away,BUY,0.3262,0.2475,0.0787,1.0,0.7525
M1 Poisson+DC,26JUN05RUSBUR,Russia vs Burkina Faso,False,home,SELL,0.5483,0.9608,-0.4125,1.0,-0.0392
M1 Poisson+DC,26JUN05RUSBUR,Russia vs Burkina Faso,False,draw,BUY,0.2593,0.0294,0.2299,0.0,-0.0294
M1 Poisson+DC,26JUN05RUSBUR,Russia vs Burkina Faso,False,away,BUY,0.1924,0.0098,0.1826,0.0,-0.0098
M2 NegBin+DC,26JUN05RUSBUR,Russia vs Burkina Faso,False,home,SELL,0.5497,0.9608,-0.4111,1.0,-0.0392
M2 NegBin+DC,26JUN05RUSBUR,Russia vs Burkina Faso,False,draw,BUY,0.2584,0.0294,0.229,0.0,-0.0294
M2 NegBin+DC,26JUN05RUSBUR,Russia vs Burkina Faso,False,away,BUY,0.1919,0.0098,0.1821,0.0,-0.0098
M3 NegBin+Frank,26JUN05RUSBUR,Russia vs Burkina Faso,False,home,SELL,0.5651,0.9608,-0.3957,1.0,-0.0392
M3 NegBin+Frank,26JUN05RUSBUR,Russia vs Burkina Faso,False,draw,BUY,0.2595,0.0294,0.2301,0.0,-0.0294
M3 NegBin+Frank,26JUN05RUSBUR,Russia vs Burkina Faso,False,away,BUY,0.1754,0.0098,0.1656,0.0,-0.0098
M4 NegBin+Frank (calib 1X2),26JUN05RUSBUR,Russia vs Burkina Faso,False,home,BUY,0.9808,0.9608,0.02,1.0,0.0392
M1 Poisson+DC,26JUN05HUNFIN,Hungary vs Finland,False,home,SELL,0.5288,0.5545,-0.0257,1.0,-0.4455
M1 Poisson+DC,26JUN05HUNFIN,Hungary vs Finland,False,away,BUY,0.1896,0.1683,0.0213,0.0,-0.1683
M2 NegBin+DC,26JUN05HUNFIN,Hungary vs Finland,False,home,SELL,0.5289,0.5545,-0.0255,1.0,-0.4455
M2 NegBin+DC,26JUN05HUNFIN,Hungary vs Finland,False,away,BUY,0.1898,0.1683,0.0215,0.0,-0.1683
M5 NegBin+Frank (calib 1X2+O/U),26JUN05HUNFIN,Hungary vs Finland,False,home,BUY,0.5972,0.5545,0.0428,1.0,0.4455
M5 NegBin+Frank (calib 1X2+O/U),26JUN05HUNFIN,Hungary vs Finland,False,draw,SELL,0.2197,0.2772,-0.0575,0.0,0.2772
M1 Poisson+DC,26JUN05AZEMLT,Azerbaijan vs Malta,False,home,SELL,0.3709,0.3922,-0.0213,0.0,0.3922
M1 Poisson+DC,26JUN05AZEMLT,Azerbaijan vs Malta,False,draw,SELL,0.3258,0.3922,-0.0663,0.0,0.3922
M1 Poisson+DC,26JUN05AZEMLT,Azerbaijan vs Malta,False,away,BUY,0.3033,0.2157,0.0876,1.0,0.7843
M2 NegBin+DC,26JUN05AZEMLT,Azerbaijan vs Malta,False,home,SELL,0.3694,0.3922,-0.0228,0.0,0.3922
M2 NegBin+DC,26JUN05AZEMLT,Azerbaijan vs Malta,False,draw,SELL,0.326,0.3922,-0.0661,0.0,0.3922
M2 NegBin+DC,26JUN05AZEMLT,Azerbaijan vs Malta,False,away,BUY,0.3046,0.2157,0.0889,1.0,0.7843
M3 NegBin+Frank,26JUN05AZEMLT,Azerbaijan vs Malta,False,home,SELL,0.3578,0.3922,-0.0344,0.0,0.3922
M3 NegBin+Frank,26JUN05AZEMLT,Azerbaijan vs Malta,False,draw,SELL,0.3399,0.3922,-0.0522,0.0,0.3922
M3 NegBin+Frank,26JUN05AZEMLT,Azerbaijan vs Malta,False,away,BUY,0.3023,0.2157,0.0866,1.0,0.7843
M5 NegBin+Frank (calib 1X2+O/U),26JUN05AZEMLT,Azerbaijan vs Malta,False,draw,SELL,0.3632,0.3922,-0.029,0.0,0.3922
M1 Poisson+DC,26JUN05BENNIG,Benin vs Niger,False,home,SELL,0.3694,0.7255,-0.356,0.0,0.7255
M1 Poisson+DC,26JUN05BENNIG,Benin vs Niger,False,draw,BUY,0.3071,0.2059,0.1012,1.0,0.7941
M1 Poisson+DC,26JUN05BENNIG,Benin vs Niger,False,away,BUY,0.3235,0.0686,0.2549,0.0,-0.0686
M2 NegBin+DC,26JUN05BENNIG,Benin vs Niger,False,home,SELL,0.3701,0.7255,-0.3554,0.0,0.7255
M2 NegBin+DC,26JUN05BENNIG,Benin vs Niger,False,draw,BUY,0.307,0.2059,0.1012,1.0,0.7941
M2 NegBin+DC,26JUN05BENNIG,Benin vs Niger,False,away,BUY,0.3228,0.0686,0.2542,0.0,-0.0686
M3 NegBin+Frank,26JUN05BENNIG,Benin vs Niger,False,home,SELL,0.366,0.7255,-0.3595,0.0,0.7255
M3 NegBin+Frank,26JUN05BENNIG,Benin vs Niger,False,draw,BUY,0.306,0.2059,0.1001,1.0,0.7941
M3 NegBin+Frank,26JUN05BENNIG,Benin vs Niger,False,away,BUY,0.328,0.0686,0.2594,0.0,-0.0686
M5 NegBin+Frank (calib 1X2+O/U),26JUN05BENNIG,Benin vs Niger,False,draw,BUY,0.2373,0.2059,0.0314,1.0,0.7941
M5 NegBin+Frank (calib 1X2+O/U),26JUN05BENNIG,Benin vs Niger,False,away,SELL,0.0405,0.0686,-0.0281,0.0,0.0686
M1 Poisson+DC,26JUN05ANGMRT,Angola vs Mauritania,False,home,BUY,0.4434,0.4198,0.0236,0.0,-0.4198
M1 Poisson+DC,26JUN05ANGMRT,Angola vs Mauritania,False,draw,BUY,0.3801,0.1756,0.2045,1.0,0.8244
M1 Poisson+DC,26JUN05ANGMRT,Angola vs Mauritania,False,away,SELL,0.1765,0.4046,-0.2281,0.0,0.4046
M2 NegBin+DC,26JUN05ANGMRT,Angola vs Mauritania,False,home,BUY,0.4422,0.4198,0.0223,0.0,-0.4198
M2 NegBin+DC,26JUN05ANGMRT,Angola vs Mauritania,False,draw,BUY,0.3803,0.1756,0.2047,1.0,0.8244
M2 NegBin+DC,26JUN05ANGMRT,Angola vs Mauritania,False,away,SELL,0.1776,0.4046,-0.227,0.0,0.4046
M3 NegBin+Frank,26JUN05ANGMRT,Angola vs Mauritania,False,draw,BUY,0.4075,0.1756,0.2319,1.0,0.8244
M3 NegBin+Frank,26JUN05ANGMRT,Angola vs Mauritania,False,away,SELL,0.1712,0.4046,-0.2334,0.0,0.4046
M5 NegBin+Frank (calib 1X2+O/U),26JUN05ANGMRT,Angola vs Mauritania,False,home,SELL,0.3283,0.4198,-0.0915,0.0,0.4198
M5 NegBin+Frank (calib 1X2+O/U),26JUN05ANGMRT,Angola vs Mauritania,False,draw,BUY,0.3587,0.1756,0.1831,1.0,0.8244
M5 NegBin+Frank (calib 1X2+O/U),26JUN05ANGMRT,Angola vs Mauritania,False,away,SELL,0.313,0.4046,-0.0916,0.0,0.4046
M1 Poisson+DC,26JUN05PARNIC,Paraguay vs Nicaragua,False,home,BUY,0.9199,0.8713,0.0486,1.0,0.1287
M1 Poisson+DC,26JUN05PARNIC,Paraguay vs Nicaragua,False,draw,SELL,0.0693,0.099,-0.0297,0.0,0.099
M2 NegBin+DC,26JUN05PARNIC,Paraguay vs Nicaragua,False,home,BUY,0.9181,0.8713,0.0468,1.0,0.1287
M2 NegBin+DC,26JUN05PARNIC,Paraguay vs Nicaragua,False,draw,SELL,0.0708,0.099,-0.0282,0.0,0.099
M3 NegBin+Frank,26JUN05PARNIC,Paraguay vs Nicaragua,False,home,BUY,0.9311,0.8713,0.0598,1.0,0.1287
M3 NegBin+Frank,26JUN05PARNIC,Paraguay vs Nicaragua,False,draw,SELL,0.0595,0.099,-0.0395,0.0,0.099
M3 NegBin+Frank,26JUN05PARNIC,Paraguay vs Nicaragua,False,away,SELL,0.0094,0.0297,-0.0203,0.0,0.0297
M5 NegBin+Frank (calib 1X2+O/U),26JUN05PARNIC,Paraguay vs Nicaragua,False,home,BUY,0.9217,0.8713,0.0504,1.0,0.1287
M5 NegBin+Frank (calib 1X2+O/U),26JUN05PARNIC,Paraguay vs Nicaragua,False,draw,SELL,0.0554,0.099,-0.0436,0.0,0.099
M1 Poisson+DC,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,home,BUY,0.844,0.7551,0.0889,1.0,0.2449
M1 Poisson+DC,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,draw,SELL,0.1232,0.1633,-0.04,0.0,0.1633
M1 Poisson+DC,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,away,SELL,0.0327,0.0816,-0.0489,0.0,0.0816
M2 NegBin+DC,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,home,BUY,0.8422,0.7551,0.0871,1.0,0.2449
M2 NegBin+DC,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,draw,SELL,0.1247,0.1633,-0.0386,0.0,0.1633
M2 NegBin+DC,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,away,SELL,0.0332,0.0816,-0.0485,0.0,0.0816
M3 NegBin+Frank,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,home,BUY,0.8632,0.7551,0.1081,1.0,0.2449
M3 NegBin+Frank,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,draw,SELL,0.1087,0.1633,-0.0546,0.0,0.1633
M3 NegBin+Frank,26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,away,SELL,0.0281,0.0816,-0.0535,0.0,0.0816
M5 NegBin+Frank (calib 1X2+O/U),26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,home,SELL,0.6307,0.7551,-0.1244,1.0,-0.2449
M5 NegBin+Frank (calib 1X2+O/U),26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,draw,BUY,0.3234,0.1633,0.1601,0.0,-0.1633
M5 NegBin+Frank (calib 1X2+O/U),26JUN05KSAPUR,Saudi Arabia vs Puerto Rico,False,away,SELL,0.0459,0.0816,-0.0357,0.0,0.0816
M1 Poisson+DC,26JUN05CANIRL,Canada vs Ireland,False,home,SELL,0.4803,0.5446,-0.0642,0.0,0.5446
M1 Poisson+DC,26JUN05CANIRL,Canada vs Ireland,False,draw,BUY,0.3386,0.2871,0.0515,1.0,0.7129
M2 NegBin+DC,26JUN05CANIRL,Canada vs Ireland,False,home,SELL,0.4801,0.5446,-0.0645,0.0,0.5446
M2 NegBin+DC,26JUN05CANIRL,Canada vs Ireland,False,draw,BUY,0.3387,0.2871,0.0516,1.0,0.7129
M3 NegBin+Frank,26JUN05CANIRL,Canada vs Ireland,False,home,SELL,0.4809,0.5446,-0.0636,0.0,0.5446
M3 NegBin+Frank,26JUN05CANIRL,Canada vs Ireland,False,draw,BUY,0.3471,0.2871,0.0599,1.0,0.7129
M5 NegBin+Frank (calib 1X2+O/U),26JUN05CANIRL,Canada vs Ireland,False,draw,BUY,0.3155,0.2871,0.0284,1.0,0.7129
M1 Poisson+DC,26JUN05HTIPER,Haiti vs Peru,False,home,SELL,0.2521,0.7129,-0.4607,0.0,0.7129
M1 Poisson+DC,26JUN05HTIPER,Haiti vs Peru,False,draw,BUY,0.315,0.2178,0.0971,0.0,-0.2178
M1 Poisson+DC,26JUN05HTIPER,Haiti vs Peru,False,away,BUY,0.4329,0.0693,0.3636,1.0,0.9307
M2 NegBin+DC,26JUN05HTIPER,Haiti vs Peru,False,home,SELL,0.2529,0.7129,-0.46,0.0,0.7129
M2 NegBin+DC,26JUN05HTIPER,Haiti vs Peru,False,draw,BUY,0.315,0.2178,0.0971,0.0,-0.2178
M2 NegBin+DC,26JUN05HTIPER,Haiti vs Peru,False,away,BUY,0.4321,0.0693,0.3628,1.0,0.9307
M3 NegBin+Frank,26JUN05HTIPER,Haiti vs Peru,False,home,SELL,0.2558,0.7129,-0.4571,0.0,0.7129
M3 NegBin+Frank,26JUN05HTIPER,Haiti vs Peru,False,draw,BUY,0.3209,0.2178,0.1031,0.0,-0.2178
M3 NegBin+Frank,26JUN05HTIPER,Haiti vs Peru,False,away,BUY,0.4233,0.0693,0.354,1.0,0.9307
M5 NegBin+Frank (calib 1X2+O/U),26JUN05HTIPER,Haiti vs Peru,False,home,BUY,0.7858,0.7129,0.073,0.0,-0.7129
M5 NegBin+Frank (calib 1X2+O/U),26JUN05HTIPER,Haiti vs Peru,False,draw,SELL,0.148,0.2178,-0.0698,0.0,0.2178
M1 Poisson+DC,26JUN06VANFIJ,Vanuatu vs Fiji,False,home,BUY,0.4778,0.2037,0.2741,1.0,0.7963
M1 Poisson+DC,26JUN06VANFIJ,Vanuatu vs Fiji,False,draw,SELL,0.2482,0.3086,-0.0605,0.0,0.3086
M1 Poisson+DC,26JUN06VANFIJ,Vanuatu vs Fiji,False,away,SELL,0.274,0.4877,-0.2137,0.0,0.4877
M2 NegBin+DC,26JUN06VANFIJ,Vanuatu vs Fiji,False,home,BUY,0.4796,0.2037,0.2759,1.0,0.7963
M2 NegBin+DC,26JUN06VANFIJ,Vanuatu vs Fiji,False,draw,SELL,0.2477,0.3086,-0.0609,0.0,0.3086
M2 NegBin+DC,26JUN06VANFIJ,Vanuatu vs Fiji,False,away,SELL,0.2727,0.4877,-0.2149,0.0,0.4877
M3 NegBin+Frank,26JUN06VANFIJ,Vanuatu vs Fiji,False,home,BUY,0.4973,0.2037,0.2936,1.0,0.7963
M3 NegBin+Frank,26JUN06VANFIJ,Vanuatu vs Fiji,False,draw,SELL,0.2436,0.3086,-0.065,0.0,0.3086
M3 NegBin+Frank,26JUN06VANFIJ,Vanuatu vs Fiji,False,away,SELL,0.2591,0.4877,-0.2285,0.0,0.4877
M1 Poisson+DC,26JUN06MYAGUM,Myanmar vs Guam,False,home,SELL,0.8223,0.97,-0.1477,1.0,-0.03
M1 Poisson+DC,26JUN06MYAGUM,Myanmar vs Guam,False,draw,BUY,0.1326,0.02,0.1126,0.0,-0.02
M1 Poisson+DC,26JUN06MYAGUM,Myanmar vs Guam,False,away,BUY,0.0451,0.01,0.0351,0.0,-0.01
M2 NegBin+DC,26JUN06MYAGUM,Myanmar vs Guam,False,home,SELL,0.8194,0.97,-0.1506,1.0,-0.03
M2 NegBin+DC,26JUN06MYAGUM,Myanmar vs Guam,False,draw,BUY,0.1345,0.02,0.1145,0.0,-0.02
M2 NegBin+DC,26JUN06MYAGUM,Myanmar vs Guam,False,away,BUY,0.0461,0.01,0.0361,0.0,-0.01
M3 NegBin+Frank,26JUN06MYAGUM,Myanmar vs Guam,False,home,SELL,0.8388,0.97,-0.1312,1.0,-0.03
M3 NegBin+Frank,26JUN06MYAGUM,Myanmar vs Guam,False,draw,BUY,0.1197,0.02,0.0997,0.0,-0.02
M3 NegBin+Frank,26JUN06MYAGUM,Myanmar vs Guam,False,away,BUY,0.0415,0.01,0.0315,0.0,-0.01
M4 NegBin+Frank (calib 1X2),26JUN06MYAGUM,Myanmar vs Guam,False,home,BUY,0.9953,0.97,0.0253,1.0,0.03
M5 NegBin+Frank (calib 1X2+O/U),26JUN06MYAGUM,Myanmar vs Guam,False,home,SELL,0.8388,0.97,-0.1312,1.0,-0.03
M5 NegBin+Frank (calib 1X2+O/U),26JUN06MYAGUM,Myanmar vs Guam,False,draw,BUY,0.1197,0.02,0.0997,0.0,-0.02
M5 NegBin+Frank (calib 1X2+O/U),26JUN06MYAGUM,Myanmar vs Guam,False,away,BUY,0.0415,0.01,0.0315,0.0,-0.01
M1 Poisson+DC,26JUN06BELTUN,Belgium vs Tunisia,False,home,SELL,0.6088,0.8911,-0.2822,1.0,-0.1089
M1 Poisson+DC,26JUN06BELTUN,Belgium vs Tunisia,False,draw,BUY,0.2504,0.0891,0.1613,0.0,-0.0891
M1 Poisson+DC,26JUN06BELTUN,Belgium vs Tunisia,False,away,BUY,0.1408,0.0198,0.121,0.0,-0.0198
M2 NegBin+DC,26JUN06BELTUN,Belgium vs Tunisia,False,home,SELL,0.608,0.8911,-0.2831,1.0,-0.1089
M2 NegBin+DC,26JUN06BELTUN,Belgium vs Tunisia,False,draw,BUY,0.2507,0.0891,0.1616,0.0,-0.0891
M2 NegBin+DC,26JUN06BELTUN,Belgium vs Tunisia,False,away,BUY,0.1413,0.0198,0.1215,0.0,-0.0198
M3 NegBin+Frank,26JUN06BELTUN,Belgium vs Tunisia,False,home,SELL,0.6295,0.8911,-0.2615,1.0,-0.1089
M3 NegBin+Frank,26JUN06BELTUN,Belgium vs Tunisia,False,draw,BUY,0.2416,0.0891,0.1525,0.0,-0.0891
M3 NegBin+Frank,26JUN06BELTUN,Belgium vs Tunisia,False,away,BUY,0.1289,0.0198,0.1091,0.0,-0.0198
M5 NegBin+Frank (calib 1X2+O/U),26JUN06BELTUN,Belgium vs Tunisia,False,home,SELL,0.6295,0.8911,-0.2615,1.0,-0.1089
M5 NegBin+Frank (calib 1X2+O/U),26JUN06BELTUN,Belgium vs Tunisia,False,draw,BUY,0.2416,0.0891,0.1525,0.0,-0.0891
M5 NegBin+Frank (calib 1X2+O/U),26JUN06BELTUN,Belgium vs Tunisia,False,away,BUY,0.1289,0.0198,0.1091,0.0,-0.0198
M1 Poisson+DC,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,home,SELL,0.3586,0.4158,-0.0573,0.0,0.4158
M1 Poisson+DC,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,draw,SELL,0.2803,0.3762,-0.096,1.0,-0.6238
M1 Poisson+DC,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,away,BUY,0.3612,0.2079,0.1532,0.0,-0.2079
M2 NegBin+DC,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,home,SELL,0.3596,0.4158,-0.0562,0.0,0.4158
M2 NegBin+DC,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,draw,SELL,0.2804,0.3762,-0.0959,1.0,-0.6238
M2 NegBin+DC,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,away,BUY,0.36,0.2079,0.1521,0.0,-0.2079
M3 NegBin+Frank,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,home,SELL,0.3632,0.4158,-0.0527,0.0,0.4158
M3 NegBin+Frank,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,draw,SELL,0.2762,0.3762,-0.1001,1.0,-0.6238
M3 NegBin+Frank,26JUN06ARMKAZ,Armenia vs Kazakhstan,False,away,BUY,0.3607,0.2079,0.1528,0.0,-0.2079
M1 Poisson+DC,26JUN06ETHMAW,Ethiopia vs Malawi,False,home,SELL,0.3791,0.7475,-0.3684,1.0,-0.2525
M1 Poisson+DC,26JUN06ETHMAW,Ethiopia vs Malawi,False,draw,BUY,0.3254,0.1717,0.1537,0.0,-0.1717
M1 Poisson+DC,26JUN06ETHMAW,Ethiopia vs Malawi,False,away,BUY,0.2955,0.0808,0.2146,0.0,-0.0808
M2 NegBin+DC,26JUN06ETHMAW,Ethiopia vs Malawi,False,home,SELL,0.3788,0.7475,-0.3687,1.0,-0.2525
M2 NegBin+DC,26JUN06ETHMAW,Ethiopia vs Malawi,False,draw,BUY,0.3254,0.1717,0.1537,0.0,-0.1717
M2 NegBin+DC,26JUN06ETHMAW,Ethiopia vs Malawi,False,away,BUY,0.2958,0.0808,0.215,0.0,-0.0808
M3 NegBin+Frank,26JUN06ETHMAW,Ethiopia vs Malawi,False,home,SELL,0.3775,0.7475,-0.37,1.0,-0.2525
M3 NegBin+Frank,26JUN06ETHMAW,Ethiopia vs Malawi,False,draw,BUY,0.3283,0.1717,0.1566,0.0,-0.1717
M3 NegBin+Frank,26JUN06ETHMAW,Ethiopia vs Malawi,False,away,BUY,0.2942,0.0808,0.2134,0.0,-0.0808
M1 Poisson+DC,26JUN06SLELBR,Sierra Leone vs Liberia,False,home,BUY,0.5063,0.451,0.0553,1.0,0.549
M1 Poisson+DC,26JUN06SLELBR,Sierra Leone vs Liberia,False,draw,SELL,0.2686,0.402,-0.1333,0.0,0.402
M1 Poisson+DC,26JUN06SLELBR,Sierra Leone vs Liberia,False,away,BUY,0.2251,0.1471,0.0781,0.0,-0.1471
M2 NegBin+DC,26JUN06SLELBR,Sierra Leone vs Liberia,False,home,BUY,0.5058,0.451,0.0548,1.0,0.549
M2 NegBin+DC,26JUN06SLELBR,Sierra Leone vs Liberia,False,draw,SELL,0.2683,0.402,-0.1336,0.0,0.402
M2 NegBin+DC,26JUN06SLELBR,Sierra Leone vs Liberia,False,away,BUY,0.2259,0.1471,0.0788,0.0,-0.1471
M3 NegBin+Frank,26JUN06SLELBR,Sierra Leone vs Liberia,False,home,BUY,0.5124,0.451,0.0614,1.0,0.549
M3 NegBin+Frank,26JUN06SLELBR,Sierra Leone vs Liberia,False,draw,SELL,0.2703,0.402,-0.1317,0.0,0.402
M3 NegBin+Frank,26JUN06SLELBR,Sierra Leone vs Liberia,False,away,BUY,0.2173,0.1471,0.0703,0.0,-0.1471
M5 NegBin+Frank (calib 1X2+O/U),26JUN06SLELBR,Sierra Leone vs Liberia,False,home,SELL,0.3428,0.451,-0.1081,1.0,-0.549
M5 NegBin+Frank (calib 1X2+O/U),26JUN06SLELBR,Sierra Leone vs Liberia,False,draw,BUY,0.5661,0.402,0.1641,0.0,-0.402
M5 NegBin+Frank (calib 1X2+O/U),26JUN06SLELBR,Sierra Leone vs Liberia,False,away,SELL,0.0911,0.1471,-0.056,0.0,0.1471
M1 Poisson+DC,26JUN06GIBCAY,Gibraltar vs Cayman Islands,False,home,BUY,0.7642,0.7426,0.0217,1.0,0.2574
M3 NegBin+Frank,26JUN06GIBCAY,Gibraltar vs Cayman Islands,False,home,BUY,0.7901,0.7426,0.0476,1.0,0.2574
M3 NegBin+Frank,26JUN06GIBCAY,Gibraltar vs Cayman Islands,False,draw,SELL,0.1698,0.198,-0.0282,0.0,0.198
M5 NegBin+Frank (calib 1X2+O/U),26JUN06GIBCAY,Gibraltar vs Cayman Islands,False,home,BUY,0.7901,0.7426,0.0476,1.0,0.2574
M5 NegBin+Frank (calib 1X2+O/U),26JUN06GIBCAY,Gibraltar vs Cayman Islands,False,draw,SELL,0.1698,0.198,-0.0282,0.0,0.198
M1 Poisson+DC,26JUN06CPVBMU,Cape Verde vs Bermuda,False,home,BUY,0.9792,0.9406,0.0386,0.0,-0.9406
M1 Poisson+DC,26JUN06CPVBMU,Cape Verde vs Bermuda,False,draw,SELL,0.0167,0.0396,-0.023,0.0,0.0396
M2 NegBin+DC,26JUN06CPVBMU,Cape Verde vs Bermuda,False,home,BUY,0.9779,0.9406,0.0373,0.0,-0.9406
M2 NegBin+DC,26JUN06CPVBMU,Cape Verde vs Bermuda,False,draw,SELL,0.0177,0.0396,-0.0219,0.0,0.0396
M3 NegBin+Frank,26JUN06CPVBMU,Cape Verde vs Bermuda,False,home,BUY,0.9836,0.9406,0.043,0.0,-0.9406
M3 NegBin+Frank,26JUN06CPVBMU,Cape Verde vs Bermuda,False,draw,SELL,0.0129,0.0396,-0.0267,0.0,0.0396
M4 NegBin+Frank (calib 1X2),26JUN06CPVBMU,Cape Verde vs Bermuda,False,home,BUY,0.9844,0.9406,0.0438,0.0,-0.9406
M4 NegBin+Frank (calib 1X2),26JUN06CPVBMU,Cape Verde vs Bermuda,False,draw,SELL,0.0103,0.0396,-0.0293,0.0,0.0396
M5 NegBin+Frank (calib 1X2+O/U),26JUN06CPVBMU,Cape Verde vs Bermuda,False,home,BUY,0.9684,0.9406,0.0278,0.0,-0.9406
M1 Poisson+DC,26JUN06ROUWAL,Romania vs Wales,False,home,BUY,0.4095,0.3431,0.0663,1.0,0.6569
M1 Poisson+DC,26JUN06ROUWAL,Romania vs Wales,False,away,SELL,0.2969,0.3529,-0.056,0.0,0.3529
M2 NegBin+DC,26JUN06ROUWAL,Romania vs Wales,False,home,BUY,0.4076,0.3431,0.0644,1.0,0.6569
M2 NegBin+DC,26JUN06ROUWAL,Romania vs Wales,False,away,SELL,0.2988,0.3529,-0.0541,0.0,0.3529
M3 NegBin+Frank,26JUN06ROUWAL,Romania vs Wales,False,home,BUY,0.3996,0.3431,0.0565,1.0,0.6569
M3 NegBin+Frank,26JUN06ROUWAL,Romania vs Wales,False,away,SELL,0.3005,0.3529,-0.0524,0.0,0.3529
M5 NegBin+Frank (calib 1X2+O/U),26JUN06ROUWAL,Romania vs Wales,False,draw,BUY,0.3347,0.3039,0.0308,0.0,-0.3039
M1 Poisson+DC,26JUN06PORCHI,Portugal vs Chile,False,home,SELL,0.7697,0.8317,-0.0619,1.0,-0.1683
M1 Poisson+DC,26JUN06PORCHI,Portugal vs Chile,False,draw,BUY,0.1454,0.1188,0.0266,0.0,-0.1188
M1 Poisson+DC,26JUN06PORCHI,Portugal vs Chile,False,away,BUY,0.0849,0.0495,0.0353,0.0,-0.0495
M2 NegBin+DC,26JUN06PORCHI,Portugal vs Chile,False,home,SELL,0.7674,0.8317,-0.0643,1.0,-0.1683
M2 NegBin+DC,26JUN06PORCHI,Portugal vs Chile,False,draw,BUY,0.1464,0.1188,0.0276,0.0,-0.1188
M2 NegBin+DC,26JUN06PORCHI,Portugal vs Chile,False,away,BUY,0.0861,0.0495,0.0366,0.0,-0.0495
M3 NegBin+Frank,26JUN06PORCHI,Portugal vs Chile,False,home,SELL,0.797,0.8317,-0.0347,1.0,-0.1683
M3 NegBin+Frank,26JUN06PORCHI,Portugal vs Chile,False,away,BUY,0.0716,0.0495,0.022,0.0,-0.0495
M5 NegBin+Frank (calib 1X2+O/U),26JUN06PORCHI,Portugal vs Chile,False,home,SELL,0.7834,0.8317,-0.0483,1.0,-0.1683
M5 NegBin+Frank (calib 1X2+O/U),26JUN06PORCHI,Portugal vs Chile,False,draw,BUY,0.1899,0.1188,0.0711,0.0,-0.1188
M5 NegBin+Frank (calib 1X2+O/U),26JUN06PORCHI,Portugal vs Chile,False,away,SELL,0.0267,0.0495,-0.0228,0.0,0.0495
M1 Poisson+DC,26JUN06ALBLUX,Albania vs Luxembourg,False,home,BUY,0.4946,0.2255,0.2691,0.0,-0.2255
M1 Poisson+DC,26JUN06ALBLUX,Albania vs Luxembourg,False,draw,BUY,0.4051,0.3235,0.0815,0.0,-0.3235
M1 Poisson+DC,26JUN06ALBLUX,Albania vs Luxembourg,False,away,SELL,0.1003,0.451,-0.3506,1.0,-0.549
M2 NegBin+DC,26JUN06ALBLUX,Albania vs Luxembourg,False,home,BUY,0.4937,0.2255,0.2682,0.0,-0.2255
M2 NegBin+DC,26JUN06ALBLUX,Albania vs Luxembourg,False,draw,BUY,0.4057,0.3235,0.0822,0.0,-0.3235
