series,event_ticker,match,kickoff_utc,snapshot_utc,market_ticker,outcome,price_2h_before,implied_prob,decimal_odds,yes_bid,yes_ask,result,market_status,volume_at_snapshot
KXWCGAME,KXWCGAME-26JUN24BIHQAT,Bosnia and Herzegovina vs Qatar,2026-06-24T22:00:00+00:00,2026-06-24T20:00:00+00:00,KXWCGAME-26JUN24BIHQAT-TIE,Tie,0.15,0.15,6.667,0.14,0.15,no,finalized,2330268.90
KXWCGAME,KXWCGAME-26JUN23COLCOD,Colombia vs Congo DR,2026-06-24T05:00:00+00:00,2026-06-24T03:00:00+00:00,KXWCGAME-26JUN23COLCOD-COL,Colombia,0.58,0.58,1.724,0.57,0.58,yes,finalized,8927997.88
KXWCGAME,KXWCGAME-26JUN23COLCOD,Colombia vs Congo DR,2026-06-24T05:00:00+00:00,2026-06-24T03:00:00+00:00,KXWCGAME-26JUN23COLCOD-COD,Congo DR,0.1,0.1,10.0,0.1,0.11,no,finalized,4358626.66
KXWCGAME,KXWCGAME-26JUN23COLCOD,Colombia vs Congo DR,2026-06-24T05:00:00+00:00,2026-06-24T03:00:00+00:00,KXWCGAME-26JUN23COLCOD-TIE,Tie,0.33,0.33,3.03,0.32,0.33,no,finalized,3316362.33
KXWCGAME,KXWCGAME-26JUN23PORUZB,Portugal vs Uzbekistan,2026-06-23T18:50:04.907000+00:00,2026-06-23T16:50:04+00:00,KXWCGAME-26JUN23PORUZB-POR,Portugal,0.86,0.86,1.163,0.85,0.86,yes,finalized,871122.12
KXWCGAME,KXWCGAME-26JUN23PORUZB,Portugal vs Uzbekistan,2026-06-23T18:50:04.907000+00:00,2026-06-23T16:50:04+00:00,KXWCGAME-26JUN23PORUZB-UZB,Uzbekistan,0.05,0.05,20.0,0.04,0.05,no,finalized,532478.59
KXWCGAME,KXWCGAME-26JUN23PORUZB,Portugal vs Uzbekistan,2026-06-23T18:50:04.907000+00:00,2026-06-23T16:50:04+00:00,KXWCGAME-26JUN23PORUZB-TIE,Tie,0.11,0.11,9.091,0.1,0.11,no,finalized,176919.37
KXWCGAME,KXWCGAME-26JUN22NORSEN,Norway vs Senegal,2026-06-23T01:49:55.095000+00:00,2026-06-22T23:49:55+00:00,KXWCGAME-26JUN22NORSEN-NOR,Norway,0.43,0.43,2.326,0.42,0.43,yes,finalized,1609144.18
KXWCGAME,KXWCGAME-26JUN22NORSEN,Norway vs Senegal,2026-06-23T01:49:55.095000+00:00,2026-06-22T23:49:55+00:00,KXWCGAME-26JUN22NORSEN-SEN,Senegal,0.31,0.31,3.226,0.3,0.31,no,finalized,242912.85
KXWCGAME,KXWCGAME-26JUN22NORSEN,Norway vs Senegal,2026-06-23T01:49:55.095000+00:00,2026-06-22T23:49:55+00:00,KXWCGAME-26JUN22NORSEN-TIE,Tie,0.29,0.29,3.448,0.28,0.29,no,finalized,141782.79
